Player,POS,ATT,YDS,TDS,REC,YDS,TDS,FL,FPTS
,,RUSHING,RECEIVING,MISC,,,,,
Ben Sinnott WAS,TE28,0.0,0.0,0.0,37.3,387.2,2.6,0.4,91.0
Mike Gesicki CIN,TE29,0.0,0.0,0.0,36.4,356.9,3.1,0.1,90.9
Ray-Ray McCloud III ATL,WR94,6.9,46.5,0.2,34.0,349.8,2.6,0.2,90.3
Andrei Iosivas CIN,WR95,0.0,3.3,0.0,32.4,377.7,2.9,0.2,87.6
Josh Reynolds DEN,WR96,0.0,1.3,0.0,31.2,405.0,2.8,0.4,87.5
Jonathan Mingo CAR,WR97,0.0,3.0,0.0,34.5,404.8,2.0,0.1,87.0
Zach Ertz WAS,TE30,0.0,0.0,0.0,36.8,342.0,2.5,0.1,85.8
Ray Davis BUF,RB53,88.0,380.1,2.9,16.1,132.5,0.6,1.2,85.7
Tucker Kraft GB,TE31,0.0,0.0,0.0,34.0,354.6,2.6,0.1,84.7
Clyde Edwards-Helaire KC,RB54,76.0,297.9,1.9,19.6,165.0,1.3,0.5,84.0
Alexander Mattison LV,RB55,113.7,421.1,2.6,13.5,89.6,1.0,0.9,84.0
Tre Tucker LV,WR98,0.0,14.0,0.0,31.6,378.0,2.3,0.2,83.9
Greg Dulcich DEN,TE32,0.0,0.0,0.0,33.8,374.4,1.9,0.1,82.7
Tyler Higbee LAR,TE33,0.0,0.0,0.0,33.9,347.4,2.1,0.1,81.2
Daniel Bellinger NYG,TE34,0.0,0.0,0.0,35.3,334.0,2.1,0.1,80.9
Bucky Irving TB,RB56,96.6,367.9,2.5,15.1,121.1,0.7,1.4,80.4
Braelon Allen NYJ,RB57,99.8,396.7,2.9,11.0,85.9,0.7,0.8,79.5
Jamaal Williams NO,RB58,101.2,382.3,2.8,15.0,84.5,0.2,0.5,78.5
Tyrone Tracy Jr. NYG,RB59,92.5,365.9,2.4,14.2,104.7,0.7,1.1,78.0
Dawson Knox BUF,TE35,0.0,0.0,0.0,28.3,297.9,3.3,0.1,77.7
Treylon Burks TEN,WR99,1.8,18.7,0.1,27.9,370.6,1.8,0.6,76.7
Colby Parkinson LAR,TE36,0.0,0.0,0.0,29.7,314.1,2.5,0.1,75.7
Miles Sanders CAR,RB60,105.8,381.0,1.8,16.2,101.3,0.2,1.2,74.1
Ja'Tavion Sanders CAR,TE37,0.0,0.0,0.0,29.9,311.6,2.3,0.4,74.1
Trey Palmer TB,WR100,4.2,20.3,0.1,26.9,322.2,2.0,0.2,73.3
Michael Mayer LV,TE38,0.0,0.0,0.0,29.6,317.7,2.0,0.1,73.3
Elijah Mitchell SF,RB61,94.9,391.5,3.1,9.2,59.4,0.2,0.7,72.5
Cedrick Wilson Jr. NO,WR101,0.3,2.3,0.0,24.7,308.4,2.6,0.1,71.1
Devontez Walker BAL,WR102,0.0,3.5,0.0,25.4,311.2,2.3,0.1,70.5
Gerald Everett CHI,TE39,0.0,0.0,0.0,29.8,275.4,2.2,0.1,70.5
Parker Washington JAC,WR103,0.0,6.0,0.0,27.0,288.4,2.1,0.0,69.3
Roschon Johnson CHI,RB62,67.7,265.4,2.0,17.1,114.9,0.4,0.8,68.4
Tommy Tremble CAR,TE40,0.0,0.0,0.0,27.5,261.8,2.5,0.1,68.3
Van Jefferson PIT,WR104,0.0,4.0,0.0,24.1,327.0,1.9,0.1,68.3
Nelson Agholor BAL,WR105,0.0,2.0,0.0,24.3,306.2,2.2,0.2,68.2
Alec Pierce IND,WR106,0.0,1.3,0.0,22.6,341.4,1.9,0.0,68.2
Cedric Tillman CLE,WR107,0.0,1.7,0.0,24.7,313.3,2.0,0.2,67.6
Javon Baker NE,WR108,0.0,7.3,0.0,25.3,302.7,1.6,0.1,65.7
Theo Johnson NYG,TE41,0.0,0.0,0.0,28.3,273.2,1.8,0.6,65.2
KaVontae Turpin DAL,WR109,8.7,66.9,0.4,18.7,220.3,2.7,0.4,65.0
A.T. Perry NO,WR110,0.3,1.8,0.0,20.4,302.1,2.4,0.0,64.9
Dameon Pierce HOU,RB63,83.0,336.0,2.3,9.9,72.4,0.2,0.5,64.7
Kalif Raymond DET,WR111,2.2,24.7,0.1,23.7,287.1,1.6,0.2,64.3
Kenneth Gainwell PHI,RB64,62.1,245.9,1.8,16.7,117.7,0.4,1.2,64.2
Tank Bigsby JAC,RB65,101.5,331.6,3.4,8.2,56.4,0.2,2.2,64.0
Jaylen Wright MIA,RB66,57.7,266.2,2.2,11.5,95.8,0.7,0.8,63.6
Carson Steele KC,RB67,64.0,195.0,1.5,17.0,151.0,0.5,0.5,62.6
