Player,REC,YDS,TDS,ATT,YDS,TDS,FL,FPTS
,RECEIVING,RUSHING,MISC,,,,,
Anthony Schwartz MIA,1.7,20.0,0.2,0.0,0.0,0.0,0.0,4.7
DeAndre Carter CHI,2.0,21.0,0.0,0.0,6.0,0.0,0.0,4.7
Dax Milne LV,1.7,20.2,0.2,0.0,0.0,0.0,0.0,4.7
Stanley Morgan Jr. NO,1.7,19.7,0.2,0.0,0.0,0.0,0.0,4.7
Cody White SEA,1.7,19.5,0.2,0.0,0.0,0.0,0.0,4.7
Cephus Johnson III TB,1.7,19.6,0.2,0.0,0.0,0.0,0.0,4.7
Irvin Charles NYJ,1.7,19.1,0.2,0.0,0.0,0.0,0.0,4.6
Malik Taylor NYJ,1.7,19.1,0.2,0.0,0.0,0.0,0.0,4.6
Lance McCutcheon NYJ,1.7,18.9,0.2,0.0,0.0,0.0,0.0,4.6
Mason Kinsey TEN,1.5,19.3,0.2,0.0,0.0,0.0,0.0,4.5
Colton Dowell TEN,1.5,19.3,0.2,0.0,0.0,0.0,0.0,4.5
Tyrie Cleveland IND,1.5,18.4,0.2,0.0,0.0,0.0,0.0,4.4
Juwann Winfree IND,1.5,18.1,0.2,0.0,0.0,0.0,0.0,4.4
Kristian Wilkerson LV,1.5,17.5,0.2,0.0,0.0,0.0,0.0,4.3
Mike Strachan CAR,1.5,19.7,0.1,0.0,0.0,0.0,0.0,4.2
Jalen Virgil DEN,1.5,17.4,0.2,0.0,0.0,0.0,0.0,4.2
Dez Fitzpatrick PIT,1.5,16.6,0.2,0.0,0.0,0.0,0.0,4.1
Gunner Olszewski NYG,1.7,17.9,0.1,0.0,0.0,0.0,0.0,4.1
Andre Baccellia ARI,1.5,16.7,0.2,0.0,0.0,0.0,0.0,4.1
David Sills DEN,1.5,16.5,0.2,0.0,0.0,0.0,0.0,4.1
Kawaan Baker NE,1.5,19.4,0.1,0.0,0.0,0.0,0.0,3.9
Quintez Cephus HOU,0.5,1.5,0.1,0.0,0.0,0.0,0.0,1.1
