Player,REC,REC_YDS,REC_TDS,ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,POS
Olamide Zaccheaus WAS,15.9,195.4,1.2,0.0,5.0,0.0,0.0,43.3,WR
Lil'Jordan Humphrey DEN,12.0,156.8,2.6,0.0,0.0,0.0,0.0,43.2,WR
Jake Bobo SEA,15.0,174.0,1.3,4.2,18.4,0.2,0.1,42.7,WR
Quez Watkins PIT,14.0,196.0,1.0,0.0,5.0,0.0,0.0,40.1,WR
Mack Hollins BUF,13.8,177.4,1.3,0.0,0.0,0.0,0.0,39.0,WR
Bub Means NO,13.2,160.0,1.1,0.0,0.0,0.0,0.0,35.5,WR
Brandon Powell MIN,14.4,143.6,0.9,1.9,14.6,0.0,0.1,35.3,WR
Tyquan Thornton NE,12.8,159.9,0.9,1.0,6.6,0.0,0.1,34.5,WR
Kadarius Toney KC,11.0,121.5,0.8,7.5,44.4,0.2,0.1,33.9,WR
Justin Watson KC,11.3,158.6,1.1,0.0,0.0,0.0,0.1,33.8,WR
Cornelius Johnson LAC,11.0,166.0,1.0,0.0,0.0,0.0,0.0,33.6,WR
Jamison Crowder WAS,14.4,144.3,0.8,0.0,0.0,0.0,0.1,33.6,WR
Malik Washington MIA,11.7,145.2,0.9,2.1,13.3,0.1,0.0,33.0,WR
Ryan Flournoy DAL,12.0,141.2,1.1,0.0,0.0,0.0,0.0,32.5,WR
Allen Lazard NYJ,11.3,146.8,1.1,0.0,0.7,0.0,0.1,32.5,WR
Jamari Thrash CLE,11.0,141.0,1.0,0.0,6.0,0.0,0.0,31.7,WR
Johnny Wilson PHI,11.9,141.2,0.9,0.0,2.5,0.0,0.0,31.4,WR
Mason Tipton NO,12.0,131.0,1.0,0.0,0.0,0.0,0.0,31.1,WR
Jacob Cowing SF,11.0,134.0,1.0,0.0,6.0,0.0,0.0,31.0,WR
Tahj Washington MIA,11.0,131.0,1.0,0.0,0.0,0.0,0.0,30.1,WR
Marquez Valdes-Scantling BUF,9.0,139.4,1.1,0.0,1.0,0.0,0.0,29.3,WR
Casey Washington ATL,10.6,128.0,1.0,0.0,0.0,0.0,0.0,29.3,WR
Marcus Rosemy-Jacksaint WAS,10.0,126.0,1.0,0.0,6.0,0.0,0.0,29.2,WR
Tejhaun Palmer ARI,11.0,122.0,1.0,0.0,0.0,0.0,0.0,29.2,WR
Jordan Whittington LAR,10.8,129.6,0.9,0.0,0.0,0.0,0.0,29.0,WR
Nikko Remigio KC,10.0,130.0,1.0,0.0,0.0,0.0,0.0,29.0,WR
Parris Campbell PHI,12.1,123.9,0.8,0.0,1.7,0.0,0.1,29.0,WR
Devaughn Vele DEN,10.0,123.0,1.0,0.0,0.0,0.0,0.0,28.3,WR
Russell Gage BAL,10.0,114.0,1.0,0.0,3.0,0.0,0.0,27.7,WR
Tyler Scott CHI,9.5,107.8,0.9,2.1,18.2,0.1,0.0,27.4,WR
Jalen Brooks DAL,10.9,99.6,0.7,0.0,0.0,0.0,0.0,25.2,WR
Donovan Peoples-Jones DET,8.8,120.0,0.7,0.0,1.3,0.0,0.0,24.9,WR
Trent Sherfield Sr. MIN,9.3,114.6,0.7,0.0,1.3,0.0,0.0,24.7,WR
Ainias Smith PHI,8.7,108.4,0.7,0.0,3.0,0.0,0.0,24.3,WR
Brenden Rice LAC,8.9,106.8,0.7,0.0,2.0,0.0,0.0,24.2,WR
Skyy Moore KC,8.7,101.4,0.8,0.0,3.0,0.0,0.1,23.7,WR
Isaiah Hodgins NYG,8.7,108.9,0.6,0.0,2.0,0.0,0.0,23.3,WR
D.J. Montgomery IND,8.8,105.3,0.6,0.0,3.0,0.0,0.0,23.1,WR
Danny Gray SF,7.0,94.0,1.0,0.0,4.0,0.0,0.0,22.8,WR
Derius Davis LAC,7.0,81.1,0.6,6.7,38.6,0.1,0.1,22.8,WR
Nick Westbrook-Ikhine TEN,8.1,108.0,0.6,0.0,1.3,0.0,0.0,22.6,WR
Mecole Hardman Jr. KC,7.6,96.4,0.7,0.0,13.0,0.0,0.0,22.6,WR
Allen Robinson II NYG,9.0,88.9,0.7,0.0,2.0,0.0,0.0,22.2,WR
Xavier Hutchinson HOU,7.9,98.5,0.6,0.0,9.5,0.0,0.0,22.2,WR
Rakim Jarrett TB,7.8,97.3,0.6,0.0,5.0,0.0,0.0,21.6,WR
Robbie Chosen SF,7.6,89.5,0.8,0.0,2.0,0.0,0.0,21.5,WR
Isaiah McKenzie NYG,9.0,80.0,0.5,1.9,10.1,0.1,0.1,21.4,WR
David Moore CAR,7.5,100.5,0.6,0.0,1.7,0.0,0.1,21.2,WR
Robert Woods HOU,8.3,86.8,0.6,0.0,2.0,0.0,0.0,20.9,WR
David Bell CLE,8.4,90.2,0.6,0.0,1.3,0.0,0.0,20.9,WR
Devin Duvernay JAC,8.1,82.6,0.4,3.3,16.9,0.1,0.1,20.8,WR
Anthony Gould IND,7.6,89.5,0.7,0.0,0.0,0.0,0.0,20.5,WR
Ihmir Smith-Marsette CAR,8.6,67.0,0.4,2.1,18.1,0.1,0.0,20.1,WR
Chris Moore ARI,7.1,88.0,0.6,0.0,5.0,0.0,0.0,19.9,WR
Braxton Berrios MIA,8.2,79.4,0.5,0.0,2.7,0.0,0.0,19.4,WR
Chris Blair ATL,7.2,82.2,0.6,0.0,0.0,0.0,0.1,19.0,WR
John Metchie III HOU,6.9,81.6,0.5,0.0,2.7,0.0,0.0,18.5,WR
Nsimba Webster CHI,6.9,80.6,0.6,0.0,0.0,0.0,0.0,18.4,WR
Justyn Ross KC,6.1,77.1,0.7,0.0,0.0,0.0,0.0,18.0,WR
Jason Brownlee NYJ,6.3,78.6,0.6,0.0,1.5,0.0,0.0,17.9,WR
Jalen Guyton LV,6.0,79.9,0.6,0.0,2.0,0.0,0.0,17.7,WR
Ronnie Bell SF,6.3,76.0,0.6,0.0,2.0,0.0,0.0,17.6,WR
Kayshon Boutte NE,6.3,78.6,0.5,0.0,2.5,0.0,0.0,17.6,WR
Sterling Shepard TB,7.0,71.3,0.5,0.0,0.0,0.0,0.1,17.3,WR
Deonte Harty BAL,5.9,72.2,0.6,0.0,5.0,0.0,0.0,17.1,WR
Ashton Dulin IND,6.1,70.5,0.6,0.0,2.0,0.0,0.0,17.1,WR
Charlie Jones CIN,6.2,76.3,0.5,0.0,1.7,0.0,0.0,16.8,WR
KJ Hamler BUF,5.4,74.1,0.6,0.0,2.5,0.0,0.0,16.5,WR
Laviska Shenault Jr. SEA,5.8,61.5,0.2,3.2,28.9,0.1,0.1,16.5,WR
Jalen Reagor NE,5.5,71.4,0.6,0.0,2.0,0.0,0.0,16.3,WR
Kyle Philips TEN,6.6,78.0,0.3,0.0,0.5,0.0,0.0,16.3,WR
