Player,POS,ATT,CMP,PASS_YDS,PASS_TDS,INTS,RUSH_ATT,RUSH_YDS,RUSH_TDS,FL,FPTS,REC,REC_YDS,REC_TDS,FG,FGA,XPT,SACK,INT,FR,FF,TD,SAFETY,PA,YDS AGN
Breece Hall NYJ,RB,,,,,,249.2,1129.3,8.1,1.4,301.4,66.8,529.2,3.8,,,,,,,,,,,
Bijan Robinson ATL,RB,,,,,,243.9,1112.7,7.4,2.2,295.9,65.5,534.6,4.3,,,,,,,,,,,
Saquon Barkley PHI,RB,,,,,,269.3,1138.5,9.1,1.7,265.4,48.0,344.2,3.0,,,,,,,,,,,
Jonathan Taylor IND,RB,,,,,,283.3,1269.5,10.1,1.4,259.4,37.2,278.8,1.6,,,,,,,,,,,
Jahmyr Gibbs DET,RB,,,,,,202.5,940.7,8.4,1.4,248.6,54.6,389.8,2.2,,,,,,,,,,,
Kyren Williams LAR,RB,,,,,,254.5,1148.2,10.2,1.7,246.0,35.5,259.3,2.0,,,,,,,,,,,
Alvin Kamara NO,RB,,,,,,203.3,798.1,5.2,0.9,240.7,68.7,486.3,2.3,,,,,,,,,,,
Travis Etienne Jr. JAC,RB,,,,,,250.0,1024.9,8.2,1.3,238.0,46.1,358.1,1.2,,,,,,,,,,,
Rachaad White TB,RB,,,,,,238.8,924.9,6.5,1.7,236.7,53.5,403.4,2.4,,,,,,,,,,,
Isiah Pacheco KC,RB,,,,,,238.6,1065.8,8.5,1.4,235.2,41.0,273.7,2.0,,,,,,,,,,,
James Cook BUF,RB,,,,,,236.2,1049.3,5.2,1.4,233.5,45.0,382.3,2.8,,,,,,,,,,,
Derrick Henry BAL,RB,,,,,,266.6,1193.9,11.2,1.0,233.5,24.4,195.5,0.9,,,,,,,,,,,
De'Von Achane MIA,RB,,,,,,175.1,907.4,7.3,0.9,230.0,45.6,348.1,2.9,,,,,,,,,,,
Josh Jacobs GB,RB,,,,,,249.6,1034.9,8.2,1.0,225.3,38.5,292.9,1.1,,,,,,,,,,,
Joe Mixon HOU,RB,,,,,,247.0,969.1,7.6,0.9,224.3,40.0,303.7,2.2,,,,,,,,,,,
Kenneth Walker III SEA,RB,,,,,,240.3,1004.1,8.9,0.9,209.9,29.1,224.9,1.0,,,,,,,,,,,
Aaron Jones MIN,RB,,,,,,186.1,857.8,5.4,1.0,203.0,43.2,317.4,2.0,,,,,,,,,,,
Rhamondre Stevenson NE,RB,,,,,,213.0,883.7,5.7,1.0,196.2,41.8,285.9,0.8,,,,,,,,,,,
Zamir White LV,RB,,,,,,235.1,987.7,5.7,1.3,191.3,32.9,230.2,0.8,,,,,,,,,,,
David Montgomery DET,RB,,,,,,202.7,892.7,9.8,0.9,190.4,22.4,168.0,0.8,,,,,,,,,,,
James Conner ARI,RB,,,,,,201.7,883.5,6.7,0.9,189.8,32.6,222.6,1.4,,,,,,,,,,,
Najee Harris PIT,RB,,,,,,241.3,962.1,6.7,1.0,188.7,29.0,182.7,1.2,,,,,,,,,,,
Jaylen Warren PIT,RB,,,,,,141.9,683.8,3.9,1.4,180.8,48.3,329.8,1.7,,,,,,,,,,,
Javonte Williams DEN,RB,,,,,,197.8,813.6,4.6,0.9,180.5,40.3,242.0,1.5,,,,,,,,,,,
D'Andre Swift CHI,RB,,,,,,178.3,810.2,5.2,1.0,180.5,36.1,248.5,1.6,,,,,,,,,,,
Raheem Mostert MIA,RB,,,,,,168.7,804.3,8.5,1.0,179.6,25.0,175.8,1.3,,,,,,,,,,,
Tony Pollard TEN,RB,,,,,,190.2,821.5,5.6,0.9,176.4,33.9,234.0,0.8,,,,,,,,,,,
Devin Singletary NYG,RB,,,,,,196.2,847.2,5.0,1.0,170.9,33.0,213.4,0.7,,,,,,,,,,,
Brian Robinson Jr. WAS,RB,,,,,,184.5,773.7,5.3,1.4,170.2,28.8,243.9,1.8,,,,,,,,,,,
Austin Ekeler WAS,RB,,,,,,124.1,516.4,4.1,1.7,169.5,46.9,374.8,2.0,,,,,,,,,,,
Tyjae Spears TEN,RB,,,,,,142.8,624.2,3.6,0.9,168.5,43.3,337.4,1.5,,,,,,,,,,,
Zack Moss CIN,RB,,,,,,169.5,734.4,5.8,0.5,164.2,28.6,199.0,1.4,,,,,,,,,,,
Chase Brown CIN,RB,,,,,,141.1,613.3,4.0,0.6,163.2,37.3,304.7,1.9,,,,,,,,,,,
Ezekiel Elliott DAL,RB,,,,,,172.6,670.6,5.7,1.0,156.4,29.4,195.8,1.3,,,,,,,,,,,
Gus Edwards LAC,RB,,,,,,186.0,794.7,7.1,1.3,149.8,15.2,132.0,0.4,,,,,,,,,,,
Nick Chubb CLE,RB,,,,,,160.1,765.8,5.4,0.9,144.2,18.5,146.3,0.6,,,,,,,,,,,
Jonathon Brooks CAR,RB,,,,,,161.2,701.3,4.6,1.6,142.0,23.7,182.3,0.9,,,,,,,,,,,
Jerome Ford CLE,RB,,,,,,147.8,580.6,3.6,0.8,141.6,30.6,218.0,1.8,,,,,,,,,,,
J.K. Dobbins LAC,RB,,,,,,134.0,565.9,3.9,0.9,129.0,23.9,180.2,1.5,,,,,,,,,,,
Antonio Gibson NE,RB,,,,,,115.8,441.9,2.3,1.4,128.9,37.8,284.6,1.2,,,,,,,,,,,
Zach Charbonnet SEA,RB,,,,,,115.3,498.7,3.0,0.8,126.3,32.8,222.3,0.8,,,,,,,,,,,
Ty Chandler MIN,RB,,,,,,145.8,595.9,4.3,0.8,123.6,20.6,151.6,0.6,,,,,,,,,,,
Chuba Hubbard CAR,RB,,,,,,139.9,562.8,3.6,0.9,122.6,25.6,176.9,0.5,,,,,,,,,,,
Tyler Allgeier ATL,RB,,,,,,134.3,555.2,3.8,0.8,122.1,21.3,169.2,1.2,,,,,,,,,,,
Rico Dowdle DAL,RB,,,,,,138.5,538.5,3.5,0.4,121.5,22.7,173.7,1.2,,,,,,,,,,,
Blake Corum LAR,RB,,,,,,130.6,548.7,4.2,1.5,115.9,19.3,149.7,0.8,,,,,,,,,,,
Jaleel McLaughlin DEN,RB,,,,,,97.8,471.8,2.6,0.8,113.6,28.3,183.5,1.0,,,,,,,,,,,
Trey Benson ARI,RB,,,,,,130.8,567.3,3.9,1.5,112.8,17.9,131.2,0.8,,,,,,,,,,,
Khalil Herbert CHI,RB,,,,,,147.8,596.8,3.4,0.8,111.5,16.6,114.6,0.9,,,,,,,,,,,
MarShawn Lloyd GB,RB,,,,,,102.3,405.4,3.2,1.1,92.8,16.4,130.6,1.0,,,,,,,,,,,
Alexander Mattison LV,RB,,,,,,113.7,420.7,2.6,0.9,85.9,14.5,96.6,1.0,,,,,,,,,,,
Ray Davis BUF,RB,,,,,,85.1,368.0,2.8,1.2,84.0,16.1,132.2,0.6,,,,,,,,,,,
Clyde Edwards-Helaire KC,RB,,,,,,76.0,297.8,1.9,0.5,83.7,19.4,164.7,1.3,,,,,,,,,,,
Kendre Miller NO,RB,,,,,,74.5,316.5,2.3,0.8,83.4,18.3,153.4,0.9,,,,,,,,,,,
Jamaal Williams NO,RB,,,,,,107.5,400.4,2.9,0.5,83.1,16.1,91.4,0.2,,,,,,,,,,,
Bucky Irving TB,RB,,,,,,96.5,367.3,2.5,1.4,80.1,14.8,120.8,0.7,,,,,,,,,,,
Braelon Allen NYJ,RB,,,,,,99.9,397.1,2.9,0.8,79.6,11.0,86.0,0.7,,,,,,,,,,,
Tyrone Tracy Jr. NYG,RB,,,,,,92.4,365.5,2.4,1.1,77.9,14.2,104.6,0.7,,,,,,,,,,,
Miles Sanders CAR,RB,,,,,,105.7,380.5,1.8,1.2,74.0,16.2,101.2,0.2,,,,,,,,,,,
Elijah Mitchell SF,RB,,,,,,94.9,391.6,3.1,0.7,72.5,9.2,59.4,0.2,,,,,,,,,,,
Roschon Johnson CHI,RB,,,,,,67.7,265.3,2.0,0.8,68.4,17.1,114.9,0.4,,,,,,,,,,,
Jaylen Wright MIA,RB,,,,,,57.8,266.7,2.2,0.8,64.8,12.0,99.6,0.7,,,,,,,,,,,
Dameon Pierce HOU,RB,,,,,,83.1,336.2,2.3,0.5,64.8,9.9,72.5,0.2,,,,,,,,,,,
Kenneth Gainwell PHI,RB,,,,,,62.1,245.6,1.8,1.2,64.1,16.7,117.5,0.4,,,,,,,,,,,
Tank Bigsby JAC,RB,,,,,,101.5,331.9,3.4,2.2,64.1,8.2,56.5,0.2,,,,,,,,,,,
D'Onta Foreman CLE,RB,,,,,,71.1,298.5,2.3,0.1,62.5,8.5,68.4,0.6,,,,,,,,,,,
Samaje Perine DEN,RB,,,,,,42.3,180.9,1.1,1.1,61.9,20.3,156.0,0.6,,,,,,,,,,,
